Maker, Genmodel,Color,Reg_year,Bodytype,Mileage,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_liter_per_100_kilometer,Top_speed_kph,Seat_num,Door_num
Bentley,Bentayga,Grey,2017.0,SUV,17657.67848,6.0L,Automatic,Petrol,164647.05882352943,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Blue,2016.0,SUV,26595.95284,6.0L,Automatic,Petrol,150464.70588235295,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,White,2016.0,SUV,26071.308,6.0L,Automatic,Petrol,148229.41176470587,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Grey,2016.0,SUV,9656.04,6.0L,Automatic,Petrol,170588.23529411765,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Blue,2016.0,SUV,9495.106,6.0L,Automatic,Petrol,164588.23529411765,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Green,2016.0,SUV,6957.17682,6.0L,Automatic,Petrol,147000.0,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Grey,2017.0,SUV,19400.5937,6.0L,Automatic,Petrol,170411.76470588235,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Red,2016.0,SUV,6630.4808,6.0L,Automatic,Petrol,150576.4705882353,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Black,2016.0,SUV,11598.51338,6.0L,Automatic,Petrol,152352.9411764706,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Grey,2016.0,SUV,56326.9,6.0L,Automatic,Petrol,144694.11764705885,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Blue,2016.0,SUV,53341.5743,6.0L,Automatic,Petrol,138823.5294117647,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Black,2017.0,SUV,19312.08,6.0L,Automatic,Petrol,182352.9411764706,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Grey,2017.0,SUV,7314.450299999999,6.0L,Automatic,Petrol,164647.05882352943,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,7.0,5.0
Bentley,Bentayga,Silver,2016.0,SUV,40233.5,6.0L,Automatic,Petrol,132882.35294117648,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Black,2016.0,SUV,52097.55448,6.0L,Automatic,Petrol,141052.9411764706,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Grey,2016.0,SUV,35918.85946,6.0L,Automatic,Petrol,141176.4705882353,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Bentayga,Black,2016.0,SUV,10631.30004,6.0L,Automatic,Petrol,157994.11764705885,600.0,652.9411764705883,2995.0,1742.0,2224.0,5140.0,10.643212669683257,300.94658,5.0,5.0
Bentley,Continental,Black,2016.0,Convertible,16492.51632,6.0L,Automatic,Petrol,141052.9411764706,626.0,652.9411764705883,2746.0,1390.0,2226.0,4818.0,12.379736842105263,328.30536,4.0,2.0
Bentley,Continental,Grey,2008.0,Coupe,87105.5275,6.0L,Automatic,Petrol,45294.117647058825,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Black,2013.0,Coupe,35392.60528,4.0L,Automatic,Petrol,91705.88235294116,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,White,2016.0,Coupe,17268.2182,4.0L,Automatic,Petrol,123470.58823529413,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Red,2014.0,Convertible,37650.5093,6.0L,Automatic,Petrol,105823.52941176471,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Blue,2014.0,Convertible,35064.29992,6.0L,Automatic,Petrol,114117.64705882354,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Silver,2009.0,Coupe,70650.026,6.0L,Automatic,Petrol,46700.0,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Black,2016.0,Convertible,15316.08878,6.0L,Automatic,Petrol,147052.9411764706,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,White,2011.0,Convertible,30577.46,6.0L,Automatic,Petrol,91752.9411764706,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Black,2010.0,Convertible,61154.92,6.0L,Automatic,Petrol,58812.94117647059,600.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,321.868,4.0,2.0
Bentley,Continental,Grey,2009.0,Coupe,81271.67,6.0L,Automatic,Petrol,50582.35294117648,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
Bentley,Continental,Silver,2012.0,Coupe,73989.4065,6.0L,Automatic,Petrol,69405.88235294117,567.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,12.062307692307693,317.03998,4.0,2.0
